50;0.000336
100;0.000673
150;0.001009
200;0.001345
250;0.001682
300;0.002018
350;0.002354
400;0.002690
450;0.003027
500;0.003363
550;0.003699
600;0.004036
650;0.004372
700;0.004708
750;0.005045
800;0.005381
850;0.005717
900;0.006054
950;0.006390
1000;0.006726
1050;0.007063
1100;0.007399
1150;0.007735
1200;0.008071
1250;0.008408
1300;0.008744
1350;0.009080
1400;0.009417
1450;0.009753
1500;0.010089
1550;0.010426
1600;0.010762
1650;0.011098
1700;0.011435
1750;0.011771
1800;0.012107
1850;0.012443
1900;0.012780
1950;0.013116
