1000;0.004604
1050;0.004834
1100;0.005064
1150;0.005295
1200;0.005525
1250;0.005755
1300;0.005985
1350;0.006215
1400;0.006445
1450;0.006676
1500;0.006906
1550;0.007136
1600;0.007366
1650;0.007596
1700;0.007827
1750;0.008057
1800;0.008287
1850;0.008517
1900;0.008747
1950;0.008978
2000;0.009208
2050;0.009438
2100;0.009668
2150;0.009898
2200;0.010129
2250;0.010359
2300;0.010589
2350;0.010819
2400;0.011049
2450;0.011280
2500;0.011510
2550;0.011740
2600;0.011970
2650;0.012200
2700;0.012431
2750;0.012661
2800;0.012891
2850;0.013121
2900;0.013351
2950;0.013582
3000;0.013812
3050;0.014042
3100;0.014272
3150;0.014502
3200;0.014733
3250;0.014963
3300;0.015193
3350;0.015423
3400;0.015653
3450;0.015884
3500;0.016114
3550;0.016344
3600;0.016574
3650;0.016804
3700;0.017035
3750;0.017265
3800;0.017495
3850;0.017725
3900;0.017955
3950;0.018185
4000;0.018416
4050;0.018646
4100;0.018876
4150;0.019106
4200;0.019336
4250;0.019567
4300;0.019797
4350;0.020027
4400;0.020257
4450;0.020487
4500;0.020718
4550;0.020948
4600;0.021178
4650;0.021408
4700;0.021638
4750;0.021869
4800;0.022099
4850;0.022329
4900;0.022559
4950;0.022789
5000;0.023020
5050;0.023250
5100;0.023480
5150;0.023710
5200;0.023940
5250;0.024171
5300;0.024401
5350;0.024631
5400;0.024861
5450;0.025091
5500;0.025322
5550;0.025552
5600;0.025782
5650;0.026012
5700;0.026242
5750;0.026473
5800;0.026703
5850;0.026933
5900;0.027163
5950;0.027393
6000;0.027624
6050;0.027854
6100;0.028084
6150;0.028314
6200;0.028544
6250;0.028774
6300;0.029005
6350;0.029235
6400;0.029465
6450;0.029695
6500;0.029925
6550;0.030156
6600;0.030386
6650;0.030616
6700;0.030846
6750;0.031076
6800;0.031307
6850;0.031537
6900;0.031767
6950;0.031997
7000;0.032227
7050;0.032458
7100;0.032688
7150;0.032918
7200;0.033148
7250;0.033378
7300;0.033609
7350;0.033839
7400;0.034069
7450;0.034299
7500;0.034529
7550;0.034760
7600;0.034990
7650;0.035220
7700;0.035450
7750;0.035680
7800;0.035911
7850;0.036141
7900;0.036371
7950;0.036601
8000;0.036831
8050;0.037062
8100;0.037292
8150;0.037522
8200;0.037752
8250;0.037982
8300;0.038213
8350;0.038443
8400;0.038673
8450;0.038903
8500;0.039133
8550;0.039364
8600;0.039594
8650;0.039824
8700;0.040054
8750;0.040284
8800;0.040514
8850;0.040745
8900;0.040975
8950;0.041205
9000;0.041435
9050;0.041665
9100;0.041896
9150;0.042126
9200;0.042356
9250;0.042586
9300;0.042816
9350;0.043047
9400;0.043277
9450;0.043507
9500;0.043737
9550;0.043967
9600;0.044198
9650;0.044428
9700;0.044658
9750;0.044888
9800;0.045118
9850;0.045349
9900;0.045579
9950;0.045809
10000;0.046039
10050;0.046269
10100;0.046500
10150;0.046730
10200;0.046960
10250;0.047190
10300;0.047420
10350;0.047651
10400;0.047881
10450;0.048111
10500;0.048341
10550;0.048571
10600;0.048802
10650;0.049032
10700;0.049262
10750;0.049492
10800;0.049722
10850;0.049953
10900;0.050183
10950;0.050413
11000;0.050643
11050;0.050873
11100;0.051104
11150;0.051334
11200;0.051564
11250;0.051794
11300;0.052024
11350;0.052254
11400;0.052485
11450;0.052715
11500;0.052945
11550;0.053175
11600;0.053405
11650;0.053636
11700;0.053866
11750;0.054096
11800;0.054326
11850;0.054556
11900;0.054787
11950;0.055017
12000;0.055247
12050;0.055477
12100;0.055707
12150;0.055938
12200;0.056168
12250;0.056398
12300;0.056628
12350;0.056858
12400;0.057089
12450;0.057319
12500;0.057549
12550;0.057779
12600;0.058009
12650;0.058240
12700;0.058470
12750;0.058700
12800;0.058930
12850;0.059160
12900;0.059391
12950;0.059621
13000;0.059851
13050;0.060081
13100;0.060311
13150;0.060542
13200;0.060772
13250;0.061002
13300;0.061232
13350;0.061462
13400;0.061693
13450;0.061923
13500;0.062153
13550;0.062383
13600;0.062613
13650;0.062844
13700;0.063074
13750;0.063304
13800;0.063534
13850;0.063764
13900;0.063994
13950;0.064225
14000;0.064455
14050;0.064685
14100;0.064915
14150;0.065145
14200;0.065376
14250;0.065606
14300;0.065836
14350;0.066066
14400;0.066296
14450;0.066527
14500;0.066757
14550;0.066987
14600;0.067217
14650;0.067447
14700;0.067678
14750;0.067908
14800;0.068138
14850;0.068368
14900;0.068598
14950;0.068829
15000;0.069059
15050;0.069289
15100;0.069519
15150;0.069749
15200;0.069980
15250;0.070210
15300;0.070440
15350;0.070670
15400;0.070900
15450;0.071131
15500;0.071361
15550;0.071591
15600;0.071821
15650;0.072051
15700;0.072282
15750;0.072512
15800;0.072742
15850;0.072972
15900;0.073202
15950;0.073433
16000;0.073663
16050;0.073893
16100;0.074123
16150;0.074353
16200;0.074583
16250;0.074814
16300;0.075044
16350;0.075274
16400;0.075504
16450;0.075734
16500;0.075965
16550;0.076195
16600;0.076425
16650;0.076655
16700;0.076885
16750;0.077116
16800;0.077346
16850;0.077576
16900;0.077806
16950;0.078036
17000;0.078267
17050;0.078497
17100;0.078727
17150;0.078957
17200;0.079187
17250;0.079418
17300;0.079648
17350;0.079878
17400;0.080108
17450;0.080338
17500;0.080569
17550;0.080799
17600;0.081029
17650;0.081259
17700;0.081489
17750;0.081720
17800;0.081950
17850;0.082180
17900;0.082410
17950;0.082640
18000;0.082871
18050;0.083101
18100;0.083331
18150;0.083561
18200;0.083791
18250;0.084022
18300;0.084252
18350;0.084482
18400;0.084712
18450;0.084942
18500;0.085173
18550;0.085403
18600;0.085633
18650;0.085863
18700;0.086093
18750;0.086323
18800;0.086554
18850;0.086784
18900;0.087014
18950;0.087244
19000;0.087474
19050;0.087705
19100;0.087935
19150;0.088165
19200;0.088395
19250;0.088625
19300;0.088856
19350;0.089086
19400;0.089316
19450;0.089546
19500;0.089776
19550;0.090007
19600;0.090237
19650;0.090467
19700;0.090697
19750;0.090927
19800;0.091158
19850;0.091388
19900;0.091618
19950;0.091848
20000;0.092078
20050;0.092309
20100;0.092539
20150;0.092769
20200;0.092999
20250;0.093229
20300;0.093460
20350;0.093690
20400;0.093920
20450;0.094150
20500;0.094380
20550;0.094611
20600;0.094841
20650;0.095071
20700;0.095301
20750;0.095531
20800;0.095762
20850;0.095992
20900;0.096222
20950;0.096452
21000;0.096682
21050;0.096913
21100;0.097143
21150;0.097373
21200;0.097603
21250;0.097833
21300;0.098063
21350;0.098294
21400;0.098524
21450;0.098754
21500;0.098984
21550;0.099214
21600;0.099445
21650;0.099675
21700;0.099905
21750;0.100135
21800;0.100365
21850;0.100596
21900;0.100826
21950;0.101056
22000;0.101286
22050;0.101516
22100;0.101747
22150;0.101977
22200;0.102207
22250;0.102437
22300;0.102667
22350;0.102898
22400;0.103128
22450;0.103358
22500;0.103588
22550;0.103818
22600;0.104049
22650;0.104279
22700;0.104509
22750;0.104739
22800;0.104969
22850;0.105200
22900;0.105430
22950;0.105660
23000;0.105890
23050;0.106120
23100;0.106351
23150;0.106581
23200;0.106811
23250;0.107041
23300;0.107271
23350;0.107502
23400;0.107732
23450;0.107962
23500;0.108192
23550;0.108422
23600;0.108653
23650;0.108883
23700;0.109113
23750;0.109343
23800;0.109573
23850;0.109803
23900;0.110034
23950;0.110264
24000;0.110494
24050;0.110724
24100;0.110954
24150;0.111185
24200;0.111415
24250;0.111645
24300;0.111875
24350;0.112105
24400;0.112336
24450;0.112566
24500;0.112796
24550;0.113026
24600;0.113256
24650;0.113487
24700;0.113717
24750;0.113947
24800;0.114177
24850;0.114407
24900;0.114638
24950;0.114868
25000;0.115098
25050;0.115328
25100;0.115558
25150;0.115789
25200;0.116019
25250;0.116249
25300;0.116479
25350;0.116709
25400;0.116940
25450;0.117170
25500;0.117400
25550;0.117630
25600;0.117860
25650;0.118091
25700;0.118321
25750;0.118551
25800;0.118781
25850;0.119011
25900;0.119242
25950;0.119472
26000;0.119702
26050;0.119932
26100;0.120162
26150;0.120393
26200;0.120623
26250;0.120853
26300;0.121083
26350;0.121313
26400;0.121543
26450;0.121774
26500;0.122004
26550;0.122234
26600;0.122464
26650;0.122694
26700;0.122925
26750;0.123155
26800;0.123385
26850;0.123615
26900;0.123845
26950;0.124076
27000;0.124306
27050;0.124536
27100;0.124766
27150;0.124996
27200;0.125227
27250;0.125457
27300;0.125687
27350;0.125917
27400;0.126147
27450;0.126378
27500;0.126608
27550;0.126838
27600;0.127068
27650;0.127298
27700;0.127529
27750;0.127759
27800;0.127989
27850;0.128219
27900;0.128449
27950;0.128680
28000;0.128910
28050;0.129140
28100;0.129370
28150;0.129600
28200;0.129831
28250;0.130061
28300;0.130291
28350;0.130521
28400;0.130751
28450;0.130982
28500;0.131212
28550;0.131442
28600;0.131672
28650;0.131902
28700;0.132132
28750;0.132363
28800;0.132593
28850;0.132823
28900;0.133053
28950;0.133283
29000;0.133514
29050;0.133744
29100;0.133974
29150;0.134204
29200;0.134434
29250;0.134665
29300;0.134895
29350;0.135125
29400;0.135355
29450;0.135585
29500;0.135816
29550;0.136046
29600;0.136276
29650;0.136506
29700;0.136736
29750;0.136967
29800;0.137197
29850;0.137427
29900;0.137657
29950;0.137887
30000;0.138118
30050;0.138348
30100;0.138578
30150;0.138808
30200;0.139038
30250;0.139269
30300;0.139499
30350;0.139729
30400;0.139959
30450;0.140189
30500;0.140420
30550;0.140650
30600;0.140880
30650;0.141110
30700;0.141340
30750;0.141571
30800;0.141801
30850;0.142031
30900;0.142261
30950;0.142491
31000;0.142722
31050;0.142952
31100;0.143182
31150;0.143412
31200;0.143642
31250;0.143872
31300;0.144103
31350;0.144333
31400;0.144563
31450;0.144793
31500;0.145023
31550;0.145254
31600;0.145484
31650;0.145714
31700;0.145944
31750;0.146174
31800;0.146405
31850;0.146635
31900;0.146865
31950;0.147095
32000;0.147325
32050;0.147556
32100;0.147786
32150;0.148016
32200;0.148246
32250;0.148476
32300;0.148707
32350;0.148937
32400;0.149167
32450;0.149397
32500;0.149627
32550;0.149858
32600;0.150088
32650;0.150318
32700;0.150548
32750;0.150778
32800;0.151009
32850;0.151239
32900;0.151469
32950;0.151699
33000;0.151929
33050;0.152160
33100;0.152390
33150;0.152620
33200;0.152850
33250;0.153080
33300;0.153311
33350;0.153541
33400;0.153771
33450;0.154001
33500;0.154231
33550;0.154462
33600;0.154692
33650;0.154922
33700;0.155152
33750;0.155382
33800;0.155612
33850;0.155843
33900;0.156073
33950;0.156303
34000;0.156533
34050;0.156763
34100;0.156994
34150;0.157224
34200;0.157454
34250;0.157684
34300;0.157914
34350;0.158145
34400;0.158375
34450;0.158605
34500;0.158835
34550;0.159065
34600;0.159296
34650;0.159526
34700;0.159756
34750;0.159986
34800;0.160216
34850;0.160447
34900;0.160677
34950;0.160907
35000;0.161137
35050;0.161367
35100;0.161598
35150;0.161828
35200;0.162058
35250;0.162288
35300;0.162518
35350;0.162749
35400;0.162979
35450;0.163209
35500;0.163439
35550;0.163669
35600;0.163900
35650;0.164130
35700;0.164360
35750;0.164590
35800;0.164820
35850;0.165051
35900;0.165281
35950;0.165511
36000;0.165741
36050;0.165971
36100;0.166202
36150;0.166432
36200;0.166662
36250;0.166892
36300;0.167122
36350;0.167352
36400;0.167583
36450;0.167813
36500;0.168043
36550;0.168273
36600;0.168503
36650;0.168734
36700;0.168964
36750;0.169194
36800;0.169424
36850;0.169654
36900;0.169885
36950;0.170115
37000;0.170345
37050;0.170575
37100;0.170805
37150;0.171036
37200;0.171266
37250;0.171496
37300;0.171726
37350;0.171956
37400;0.172187
37450;0.172417
37500;0.172647
37550;0.172877
37600;0.173107
37650;0.173338
37700;0.173568
37750;0.173798
37800;0.174028
37850;0.174258
37900;0.174489
37950;0.174719
38000;0.174949
38050;0.175179
38100;0.175409
38150;0.175640
38200;0.175870
38250;0.176100
38300;0.176330
38350;0.176560
38400;0.176791
38450;0.177021
38500;0.177251
38550;0.177481
38600;0.177711
38650;0.177941
38700;0.178172
38750;0.178402
38800;0.178632
38850;0.178862
38900;0.179092
38950;0.179323
39000;0.179553
39050;0.179783
39100;0.180013
39150;0.180243
39200;0.180474
39250;0.180704
39300;0.180934
39350;0.181164
39400;0.181394
39450;0.181625
39500;0.181855
39550;0.182085
39600;0.182315
39650;0.182545
39700;0.182776
39750;0.183006
39800;0.183236
39850;0.183466
39900;0.183696
39950;0.183927
40000;0.184157
40050;0.184387
40100;0.184617
40150;0.184847
40200;0.185078
40250;0.185308
40300;0.185538
40350;0.185768
40400;0.185998
40450;0.186229
40500;0.186459
40550;0.186689
40600;0.186919
40650;0.187149
40700;0.187380
40750;0.187610
40800;0.187840
40850;0.188070
40900;0.188300
40950;0.188531
41000;0.188761
41050;0.188991
41100;0.189221
41150;0.189451
41200;0.189681
41250;0.189912
41300;0.190142
41350;0.190372
41400;0.190602
41450;0.190832
41500;0.191063
41550;0.191293
41600;0.191523
41650;0.191753
41700;0.191983
41750;0.192214
41800;0.192444
41850;0.192674
41900;0.192904
41950;0.193134
