50;0.001020
100;0.000520
150;0.000760
200;0.001040
250;0.001440
300;0.001440
350;0.001660
400;0.001900
450;0.002120
500;0.002360
550;0.002620
600;0.002840
650;0.003020
700;0.003300
750;0.003580
800;0.003900
850;0.004160
900;0.004360
950;0.004620
1000;0.004860
1050;0.005260
1100;0.005360
1150;0.005560
1200;0.005820
1250;0.006040
1300;0.006300
1350;0.006580
1400;0.007480
1450;0.007360
1500;0.007980
1550;0.011300
1600;0.008600
1650;0.008800
1700;0.009060
1750;0.009380
1800;0.009460
1850;0.009800
1900;0.010060
1950;0.010600
