50;0.003985
100;0.015940
150;0.035865
200;0.063760
250;0.099626
300;0.143461
350;0.195266
400;0.255042
450;0.322787
500;0.398503
550;0.482189
600;0.573844
650;0.673470
700;0.781066
750;0.896632
800;1.020168
850;1.151674
900;1.291150
950;1.438596
1000;1.594012
1050;1.757398
1100;1.928755
1150;2.108081
1200;2.295377
1250;2.490644
1300;2.693880
1350;2.905087
1400;3.124264
1450;3.351410
1500;3.586527
1550;3.829614
1600;4.080671
1650;4.339698
1700;4.606695
1750;4.881662
1800;5.164599
1850;5.455506
1900;5.754383
1950;6.061231
