50;0.003400
100;0.011040
150;0.027380
200;0.052060
250;0.077800
300;0.117520
350;0.160020
400;0.214200
450;0.270140
500;0.346600
550;0.410400
600;0.507160
650;0.579480
700;0.681640
750;0.785940
800;0.983900
850;1.093660
900;1.157620
950;1.277460
1000;1.401200
1050;1.634140
1100;1.752800
1150;1.993340
1200;2.234020
1250;2.686780
1300;3.047420
1350;3.251280
1400;3.703760
1450;4.177240
1500;3.819140
1550;3.719160
1600;3.584560
1650;3.558260
1700;3.440360
1750;3.813900
1800;4.331160
1850;6.577020
1900;5.963380
1950;7.327880
